MES,INF,DES,CETES91
Abr 1999,18.23,2.7,21.05
May 1999,18.01,2.44,21.02
Jun 1999,17.39,2.58,21.35
Jul 1999,17.04,2.26,20.78
Ago 1999,16.58,2.49,21.49
Sep 1999,15.83,2.24,21.34
Oct 1999,14.91,2.5,20.3
Nov 1999,13.92,2.09,18.68
Dic 1999,12.32,2,17.65
Ene 2000,11.02,2.28,17.43
Feb 2000,10.52,2.43,16.44
Mar 2000,10.11,2.15,14.46
Abr 2000,9.73,2.45,14.37
May 2000,9.48,2.14,15.58
Jun 2000,9.41,2.11,16.61
Jul 2000,9.12,2.03,14.62
Ago 2000,9.1,2.58,15.71
Sep 2000,8.85,2.51,16.15
Oct 2000,8.91,1.97,17.06
Nov 2000,8.87,2,18.01
Dic 2000,8.96,1.9,17.41
Ene 2001,8.11,2.31,18.5
Feb 2001,7.09,2.83,18.07
Mar 2001,7.17,2.33,16.47
Abr 2001,7.11,2.26,15.4
May 2001,6.95,2.47,12.61
Jun 2001,6.57,2.28,10.27
Jul 2001,5.88,2.44,10.25
Ago 2001,5.93,2.32,8.54
Sep 2001,6.14,2.49,10.88
Oct 2001,5.89,2.93,9.68
Nov 2001,5.39,2.41,8.69
Dic 2001,4.4,2.46,7.53
Ene 2002,4.79,3.04,7.35
Feb 2002,4.79,2.64,8.17
Mar 2002,4.66,2.77,7.31
Abr 2002,4.7,2.75,6.16
May 2002,4.68,2.68,6.69
Jun 2002,4.94,2.32,7.49
Jul 2002,5.51,2.93,7.88
Ago 2002,5.29,2.77,7.07
Sep 2002,4.95,3.09,7.82
Oct 2002,4.94,2.66,8.23
Nov 2002,5.39,2.64,7.83
Dic 2002,5.7,2.12,7.27
Ene 2003,5.16,2.72,8.69
Feb 2003,5.52,2.74,8.86
Mar 2003,5.64,2.82,9.12
Abr 2003,5.25,2.95,8
May 2003,4.7,2.74,5.75
Jun 2003,4.27,3.27,5.37
Jul 2003,4.13,3.52,5.27
Ago 2003,4.04,3.96,5.11
Sep 2003,4.04,3.87,5.2
Oct 2003,3.96,3.63,5.38
Nov 2003,3.98,3.8,5.23
Dic 2003,3.98,2.96,6.18
Ene 2004,4.2,3.81,5.11
Feb 2004,4.53,3.92,5.63
Mar 2004,4.23,3.86,6.21
Abr 2004,4.21,3.58,5.96
May 2004,4.29,3.48,7.08
Jun 2004,4.37,3.78,7.26
Jul 2004,4.49,3.75,7.3
Ago 2004,4.82,4.35,7.5
Sep 2004,5.06,4.01,7.75
Oct 2004,5.4,3.6,8.11
Nov 2004,5.43,3.78,8.58
Dic 2004,5.19,3.04,8.72
Ene 2005,4.54,3.95,8.74
Feb 2005,4.27,3.77,9.31
Mar 2005,4.39,3.63,9.74
Abr 2005,4.6,3.36,10
May 2005,4.6,3.30,9.92
Jun 2005,4.33,3.48,9.76
Jul 2005,4.47,3.92,9.74
Ago 2005,3.95,3.67,9.69
Sep 2005,3.51,3.58,9.14
Oct 2005,3.05,3.39,8.95
Nov 2005,2.91,2.94,8.76
Dic 2005,3.33,2.77,8.2
Ene 2006,3.94,3.48,7.8
Feb 2006,3.75,3.75,7.57
Mar 2006,3.41,3.31,7.38
Abr 2006,3.2,3.20,7.28
May 2006,3,2.84,7.12
Jun 2006,3.18,3.26,7.33
Jul 2006,3.06,4.01,7.18
Ago 2006,3.47,3.87,7.17
Sep 2006,4.09,4.00,7.18
Oct 2006,4.29,3.82,7.21
Nov 2006,4.09,3.50,7.16
Dic 2006,4.05,3.32,7.16
Ene 2007,3.98,4.05,7.19
Feb 2007,4.11,4.05,7.19
Mar 2007,4.21,3.73,7.21
Abr 2007,3.99,3.51,7.15
May 2007,3.95,3.15,7.41
Jun 2007,3.98,3.28,7.38
Jul 2007,4.14,3.79,7.34
Ago 2007,4.03,3.83,7.38
Sep 2007,3.79,3.76,7.36
Oct 2007,3.74,3.77,7.43
Nov 2007,3.93,3.35,7.6
Dic 2007,3.76,3.11,7.6
Ene 2008,3.7,4.12,7.58
Feb 2008,3.72,3.89,7.51
Mar 2008,4.25,3.61,7.47
