Periodo,M1,M2,M3,M4,PIB Nominal
40909,1977024819,4963954577,5531718869,6756553373,5137500.87
40940,1938067673,4967753450,5535900386,6788577273,5137500.87
40969,2025670843,5063813574,5647415562,6909560156,5137500.87
41000,1993418065,5027747965,5604362326,6944225441,5236904.072
41030,2024555007,5055211379,5685210098,7037153565,5236904.072
41061,2103633907,5100292843,5781908370,7208221851,5236904.072
41091,2045683290,5104114983,5790815652,7304817169,5256920.572
41122,2065560499,5123551112,5833695350,7348650360,5256920.572
41153,2076104428,5091448045,5809012599,7415432734,5256920.572
41183,2051920924,5187025104,5881732296,7516286880,5459013.931
41214,2134858980,5190395258,5900524185,7590296811,5459013.931
41244,2278174708,5306754531,6004541370,7814348863,5459013.931
41275,2173269543,5293968556,6034080966,7922843535,5256582.488
41306,2154134555,5297301366,5977103115,7887801951,5256582.488
41334,2174771787,5319918052,6041747488,8037338888,5256582.488
41365,2142217471,5285413686,5937202553,8024956180,5400050.961
41395,2171176314,5326721542,6054674798,8081487987,5400050.961
41426,2211663709,5469573182,6137825844,8032965483,5400050.961
41456,2207369361,5520228165,6177329062,8083107684,5401145.616
41487,2239638324,5554395124,6285791397,8166603099,5401145.616
41518,2245970278,5534930381,6280561210,8238401883,5401145.616
41548,2214060389,5600967124,6421696745,8376027734,5645137.04
41579,2344972158,5698579403,6538246290,8510125840,5645137.04
41609,2511368572,5872306248,6608001198,8648388935,5645137.04
41640,2453893755,5881668900,6616094725,8614377567,5580393.607
41671,2438087944,5859314860,6642185576,8748159375,5580393.607
41699,2445032397,5852057425,6629092246,8738105204,5580393.607
41730,2460979495,5967748671,6716193109,8786498983,5805327.671
41760,2489140491,5990793818,6730362778,8891906772,5805327.671
41791,2504596298,6060946403,6847905053,9050303339,5805327.671
41821,2531496077,6111404449,6906263244,9166899478,5817756.295
41852,2545089854,6123665718,6942106216,9183766572,5817756.295
41883,2556416712,6114631328,6902129575,9130298392,5817756.295
41913,2618525167,6163058349,7088509871,9368578752,6094977.81
41944,2711723106,6208067094,7136480700,9535566621,6094977.81
41974,2876506247,6356234194,7231689758,9630957416,6094977.81
