Empresa,Nombre_Corto,Fecha,Anio,Trimestre,Activos,Inventarios,Pasivo_Circulante,PasivoLP,UOAD,PPE,CPP,Efectivo,GC,CBV,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Acciones
"ALFA, S.A.B. DE C.V.",ALFA,1Q2015,2015,1,236457.889,30388.728,68758.596,101701.589,4443.466797,93446.837,33101.282,22883.746,2760.903076,48937.62891,61041.26563,1210.994019,82684.96875,30394.31445,56597.79688,7660.167969,30.30770492
"ALFA, S.A.B. DE C.V.",ALFA,2Q2015,2015,2,239802.761,31940.426,68389.002,108784.81,7166.85791,96583.837,36517.07,17614.821,2505.666016,50251.11719,64673.30859,1182.333984,89095.85938,31504.64258,57506.44922,7255.332031,31.72241935
"ALFA, S.A.B. DE C.V.",ALFA,3Q2015,2015,3,265987.424,34672.051,68613.366,118506.181,6514.876953,104009.464,39081.865,23790.677,3227.759033,53390.71094,67352.96875,1238.256958,96301.77344,35320.20313,60838.09375,7447.382813,32.55184615
"ALFA, S.A.B. DE C.V.",ALFA,4Q2015,2015,4,266705.418,34128.477,62965.763,123924.54,5931.862793,106376.179,38914.625,24851.839,3337.633057,51732.38672,65232.19922,1224.462036,102392.1797,33476.33594,59300.33594,7567.949219,34.64111111
"ALFA, S.A.B. DE C.V.",ALFA,1Q2016,2016,1,292239.788,35061.914,68404.279,139323.893,6760.719238,124047.422,38748.674,18995.399,3758.39209,52584.01563,68627.5625,1739.363037,117804.6563,38844.60938,61866.84375,9282.828125,32.44716667
"ALFA, S.A.B. DE C.V.",ALFA,2Q2016,2016,2,314293.049,38173.75,72410.774,152413.645,7443.666016,132155.044,43185.702,21097.435,4524.778809,55227.55859,73118.74219,1637.571045,129381.7422,42119.47266,65675.07813,10447.51953,32.18538462
"ALFA, S.A.B. DE C.V.",ALFA,3Q2016,2016,3,327782.743,39465.993,77987.542,156762.248,6274.986816,138069.871,47905.614,22655.13,5988.696777,58837.50391,75322.69531,1687.813965,132519.2031,44250.52734,69047.71094,10210.20703,30.59276923
"ALFA, S.A.B. DE C.V.",ALFA,4Q2016,2016,4,348938.705,40922.625,83006.062,164944.504,3734.312988,149502.89,53729.127,24633.236,7954.268066,59773.09766,76713.07813,1344.911011,138046.1094,41283.72656,72978.76563,13205.66797,27.58677419
"ALFA, S.A.B. DE C.V.",ALFA,1Q2017,2017,1,329198.428,41186.382,82414.445,154231.021,5977.106934,141775.495,50420.99,20285.772,5556.90918,64555.14063,81381.25781,2485.138916,128987.4453,40742.57031,75404.14844,10849.00781,26.38793651
"ALFA, S.A.B. DE C.V.",ALFA,2Q2017,2017,2,324414.413,39714.314,82171.019,149205.896,5136.957031,139569.649,50675.453,19598.159,4156.930176,63543.03516,78665.45313,1859.093994,124870.9922,40185.94141,73528.5,9985.464844,26.36774194
"ALFA, S.A.B. DE C.V.",ALFA,3Q2017,2017,3,327606.526,40514.795,85047.504,154828.362,-5366.526855,143555.537,51131.429,23646.488,3874.575928,61368.48828,76235.44531,1863.609985,130865.3594,39119.60938,81601.96875,20233.48047,25.00923077
"ALFA, S.A.B. DE C.V.",ALFA,4Q2017,2017,4,358968.217,44340.633,98193.529,168348.061,5447.438965,153642.275,61213.923,32813.228,4043.460938,64816.98438,81345.10156,2189.605957,143815.7031,39258.27734,75897.66406,11080.67969,20.80557377
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2010,2010,1,6061.354,290.215,1738.837,1017.356,56.00099945,2829.375,413.34,669.14,19.07999992,729.4520264,2095.818115,23.125,1017.355957,598.7609863,2039.817139,1310.365112,10.77819672
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2010,2010,2,5740.582,293.917,1455.274,1070.646,94.09200287,2858.706,451.932,480.304,173.0079956,740.1119995,2166.695068,25.57699966,1070.645996,429.901001,2072.603027,1332.490967,12.4647619
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2010,2010,3,5783.639,300.857,1574.449,990.15,74.17900085,2886.739,516.597,482.518,140.647995,796.0709839,2274.927002,25.29299927,990.1500244,432.868988,2200.748047,1404.677002,12.29390625
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2010,2010,4,6110.454,352.438,1561.339,1368,103.8099976,2942.044,679.773,640.203,180.6690063,873.1729736,2458.552979,33.69800186,1368,464.7430115,2354.74292,1481.569946,12.19421875
"ALSEA, S.A.B. DE C.V.",ALSEA,1Q2011,2011,1,6036.196,356.128,1439.678,1326.5,66.01399994,3035.678,560.032,370.926,159.2550049,834.6680298,2383.284912,24.83600044,1326.5,493.9030151,2317.270996,1482.603027,12.57258065
"ALSEA, S.A.B. DE C.V.",ALSEA,2Q2011,2011,2,6367.868,391.274,1575.428,1604,152.4839935,3150.216,654.982,575.827,228.4759979,898.0120239,2611.7771,41.34500122,1604,477.5010071,2459.293213,1561.28125,12.19539683
"ALSEA, S.A.B. DE C.V.",ALSEA,3Q2011,2011,3,6659.507,360.946,1800.128,1562.5,146.5619965,3254.159,644.011,684.852,221.2369995,994.8950195,2789.319092,29.35899925,1562.5,494.8070068,2642.75708,1647.862061,11.60092308
"ALSEA, S.A.B. DE C.V.",ALSEA,4Q2011,2011,4,9407.109,403.13,2150.708,3877.667,170.6170044,3472.42,988.426,739.379,349.5620117,1060.024048,2884.389893,56.15200043,3877.666992,629.3140259,2713.772949,1653.748901,12.78919355
